2006,45-37,LAL
2006,44-38,DEN
2006,44-38,SAC
2006,42-40,WAS
2006,41-41,CHI
2006,41-41,IND
2006,41-41,UTA
2006,40-42,MIL
2006,38-44,NOK
2006,38-44,PHI
2006,36-46,ORL
2006,35-47,SEA
2006,34-48,GSW
2006,34-48,HOU
2006,33-49,BOS
2006,33-49,MIN
2006,27-55,TOR
2006,26-56,ATL
2006,26-56,CHA
2006,23-59,NYK
2006,21-61,POR
2007,67-15,DAL
2007,61-21,PHO
2007,58-24,SAS
2007,53-29,DET
2007,52-30,HOU
2007,51-31,UTA
2007,50-32,CLE
2007,49-33,CHI
2007,47-35,TOR
2007,45-37,DEN
2007,44-38,MIA
2007,42-40,GSW
2007,42-40,LAL
2007,41-41,NJN
2007,41-41,WAS
2007,40-42,ORL
2007,40-42,LAC
2007,39-43,NOK
2007,35-47,IND
2007,35-47,PHI
2007,33-49,CHA
2007,33-49,NYK
2007,33-49,SAC
2007,32-50,MIN
2007,32-50,POR
2007,31-51,SEA
2007,30-52,ATL
2007,28-54,MIL
2007,24-58,BOS
2007,22-60,MEM
2008,66-16,BOS
2008,59-23,DET
2008,57-25,LAL
2008,56-26,NOH
2008,56-26,SAS
2008,55-27,HOU
2008,55-27,PHO
2008,54-28,UTA
2008,52-30,ORL
2008,51-31,DAL
2008,50-32,DEN
2008,48-34,GSW
2008,45-37,CLE
2008,43-39,WAS
2008,41-41,TOR
2008,41-41,POR
2008,40-42,PHI
2008,38-44,SAC
2008,37-45,ATL
2008,36-46,IND
2008,34-48,NJN
2008,33-49,CHI
2008,32-50,CHA
2008,26-56,MIL
2008,23-59,LAC
2008,23-59,NYK
2008,22-60,MEM
2008,22-60,MIN
2008,20-62,SEA
2008,15-67,MIA
2009,66-16,CLE
2009,65-17,LAL
2009,62-20,BOS
2009,59-23,ORL
2009,54-28,DEN
2009,54-28,POR
2009,54-28,SAS
2009,53-29,HOU
2009,50-32,DAL
2009,49-33,NOH
2009,48-34,UTA
2009,47-35,ATL
2009,46-36,PHO
2009,43-39,MIA
2009,41-41,CHI
2009,41-41,PHI
2009,39-43,DET
2009,36-46,IND
2009,35-47,CHA
2009,34-48,MIL
2009,34-48,NJN
2009,33-49,TOR
2009,32-50,NYK
2009,29-53,GSW
2009,24-58,MEM
2009,24-58,MIN
2009,23-59,OKC
2009,19-63,LAC
2009,19-63,WAS
2009,17-65,SAC
2010,61-21,CLE
2010,59-23,ORL
2010,57-25,LAL
2010,55-27,DAL
2010,54-28,PHO
2010,53-29,ATL
2010,53-29,DEN
2010,53-29,UTA
2010,50-32,BOS
2010,50-32,OKC
2010,50-32,POR
2010,50-32,SAS
2010,47-35,MIA
2010,46-36,MIL
2010,44-38,CHA
2010,42-40,HOU
2010,41-41,CHI
2010,40-42,MEM
2010,40-42,TOR
2010,37-45,NOH
2010,32-50,IND
2010,29-53,LAC
2010,29-53,NYK
2010,27-55,DET
2010,27-55,PHI
2010,26-56,GSW
2010,26-56,WAS
2010,25-57,SAC
2010,15-67,MIN
2010,12-70,NJN
2011,62-20,CHI
2011,61-21,SAS
2011,58-24,MIA
2011,57-25,DAL
2011,57-25,LAL
2011,56-26,BOS
2011,55-27,OKC
2011,52-30,ORL
2011,50-32,DEN
2011,48-34,POR
2011,46-36,MEM
